,name,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year,Company,YEAR
12,Namor McKenzie (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Male Characters,,Living Characters,1528.0,,,Marvel,
13,Ororo Munroe (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,1512.0,May-75,1975.0,Marvel,
14,Clinton Barton (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1394.0,Sep-64,1964.0,Marvel,
15,Matthew Murdock (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,1338.0,Apr-64,1964.0,Marvel,
16,Stephen Strange (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,1307.0,Jul-63,1963.0,Marvel,
17,Mary Jane Watson (Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,1304.0,Jun-65,1965.0,Marvel,
18,John Jonah Jameson (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1266.0,Mar-63,1963.0,Marvel,
19,Robert Drake (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1265.0,Sep-63,1963.0,Marvel,
20,Henry Pym (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1237.0,Jan-62,1962.0,Marvel,
21,Charles Xavier (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,1233.0,Sep-63,1963.0,Marvel,
22,Warren Worthington III (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1230.0,Sep-63,1963.0,Marvel,
23,Piotr Rasputin (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1162.0,May-75,1975.0,Marvel,
24,Wanda Maximoff (Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,1161.0,Mar-64,1964.0,Marvel,
25,Nicholas Fury (Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1137.0,May-63,1963.0,Marvel,
26,Janet van Dyne (Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,,Living Characters,1120.0,Jun-63,1963.0,Marvel,
27,Jean Grey (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Deceased Characters,1107.0,Sep-63,1963.0,Marvel,
28,Natalia Romanova (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,1050.0,Apr-64,1964.0,Marvel,
29,Kurt Wagner (Earth-616),Secret Identity,Good Characters,Yellow Eyes,Blue Hair,Male Characters,,Living Characters,1047.0,May-75,1975.0,Marvel,
30,Vision (Earth-616),Secret Identity,Good Characters,Gold Eyes,No Hair,Male Characters,,Living Characters,1007.0,Oct-68,1968.0,Marvel,
31,May Reilly (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Grey Hair,Female Characters,,Living Characters,1000.0,Aug-62,1962.0,Marvel,
32,Katherine Pryde (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,,Living Characters,886.0,Jan-80,1980.0,Marvel,
33,Carol Danvers (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,881.0,Mar-68,1968.0,Marvel,
34,Jennifer Walters (Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,881.0,Feb-80,1980.0,Marvel,
35,Emma Frost (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,880.0,Jan-80,1980.0,Marvel,
36,Frank Castle (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,878.0,Feb-74,1974.0,Marvel,
37,Luke Cage (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,856.0,Jun-72,1972.0,Marvel,
38,Rogue (Anna Marie) (Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,,Living Characters,850.0,,,Marvel,
39,Conan (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,787.0,Oct-70,1970.0,Marvel,
40,Joseph Robertson (Earth-616),No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,752.0,Aug-67,1967.0,Marvel,
41,Pietro Maximoff (Earth-616),Public Identity,Good Characters,Blue Eyes,Silver Hair,Male Characters,,Living Characters,740.0,Mar-64,1964.0,Marvel,
42,Hercules (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Bisexual Characters,Living Characters,725.0,Oct-65,1965.0,Marvel,
43,Victor von Doom (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,721.0,Jul-62,1962.0,Marvel,
44,Max Eisenhardt (Earth-616),Public Identity,Neutral Characters,Grey Eyes,Bald,Male Characters,,Living Characters,709.0,Sep-63,1963.0,Marvel,
45,Elizabeth Braddock (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Purple Hair,Female Characters,Bisexual Characters,Living Characters,708.0,Dec-76,1976.0,Marvel,
46,Norrin Radd (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,696.0,Mar-66,1966.0,Marvel,
47,Norman Osborn (Earth-616),Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,,Living Characters,692.0,Jul-64,1964.0,Marvel,
48,Eugene Thompson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,689.0,Aug-62,1962.0,Marvel,
49,Simon Williams (Earth-616),Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,,Living Characters,686.0,Oct-64,1964.0,Marvel,
50,Samuel Guthrie (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,657.0,Nov-82,1982.0,Marvel,
51,James Buchanan Barnes (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,641.0,Mar-41,1941.0,Marvel,
52,Remy LeBeau (Earth-616),Secret Identity,Good Characters,Black Eyeballs,Brown Hair,Male Characters,,Living Characters,636.0,Jul-90,1990.0,Marvel,
53,Daniel Rand (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,618.0,May-74,1974.0,Marvel,
54,Nathan Summers (Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,612.0,Jan-86,1986.0,Marvel,
55,Elizabeth Brant (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,599.0,Sep-63,1963.0,Marvel,
56,Richard Jones (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,590.0,May-62,1962.0,Marvel,
57,Edwin Jarvis (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,567.0,Nov-64,1964.0,Marvel,
58,Alexander Summers (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,558.0,Mar-69,1969.0,Marvel,
59,Patricia Walker (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,550.0,Nov-44,1944.0,Marvel,
60,Human Torch (Android) (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,548.0,Oct-39,1939.0,Marvel,
61,Loki Laufeyson (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,Bisexual Characters,Living Characters,532.0,Aug-49,1949.0,Marvel,
62,Franklin Nelson (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,528.0,Apr-64,1964.0,Marvel,
63,Brian Braddock (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,528.0,Oct-76,1976.0,Marvel,
64,Otto Octavius (Earth-616),Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,,Deceased Characters,526.0,Jul-63,1963.0,Marvel,
65,James Rhodes (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,525.0,Jan-79,1979.0,Marvel,
66,Timothy Dugan (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,517.0,May-63,1963.0,Marvel,
67,Crystalia Amaquelin (Earth-616),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,512.0,Dec-65,1965.0,Marvel,
68,Samuel Wilson (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,512.0,Sep-69,1969.0,Marvel,
69,Wilson Fisk (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,503.0,Jul-67,1967.0,Marvel,
70,Odin Borson (Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,502.0,Oct-62,1962.0,Marvel,
71,Deadpool (Wade Wilson),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Transvestites,Living Characters,500.0,Feb-91,1991.0,Marvel,
72,Dane Whitman (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,478.0,Dec-67,1967.0,Marvel,
73,Harold Osborn (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,474.0,Dec-65,1965.0,Marvel,
74,Franklin Richards (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,473.0,Nov-68,1968.0,Marvel,
75,Jessica Drew (Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,,Living Characters,471.0,Feb-77,1977.0,Marvel,
76,Roberto da Costa (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,464.0,Nov-82,1982.0,Marvel,
77,Rahne Sinclair (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,448.0,Nov-82,1982.0,Marvel,
78,Elizabeth Ross (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,446.0,May-62,1962.0,Marvel,
79,Lorna Dane (Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,433.0,Oct-68,1968.0,Marvel,
80,Blaine Colt (Earth-616),Public Identity,,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,429.0,,,Marvel,
81,Johnathon Blaze (Earth-616),Secret Identity,Good Characters,Blue Eyes,Reddish Blond Hair,Male Characters,,Living Characters,426.0,Aug-72,1972.0,Marvel,
82,Sif (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,422.0,Mar-64,1964.0,Marvel,
83,Red Hulk (Thaddeus Ross),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,415.0,May-62,1962.0,Marvel,
84,Jubilation Lee (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,408.0,May-89,1989.0,Marvel,
85,Volstagg (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,406.0,Aug-65,1965.0,Marvel,
86,Balder Odinson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,403.0,Oct-62,1962.0,Marvel,
87,Galactus (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,No Hair,Male Characters,,Living Characters,390.0,Mar-66,1966.0,Marvel,
88,Danielle Moonstar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,388.0,Nov-82,1982.0,Marvel,
89,Marc Spector (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,387.0,Aug-75,1975.0,Marvel,
90,Gwendolyne Stacy (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,384.0,Dec-65,1965.0,Marvel,
91,Medusalith Amaquelin (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,382.0,Mar-65,1965.0,Marvel,
92,Sabretooth (Victor Creed),Secret Identity,Bad Characters,Amber Eyes,Blond Hair,Male Characters,,Living Characters,382.0,Aug-77,1977.0,Marvel,
93,Illyana Rasputina (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,380.0,May-75,1975.0,Marvel,
94,Johann Shmidt (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,376.0,Aug-41,1941.0,Marvel,
95,Fandral (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,375.0,Aug-65,1965.0,Marvel,
96,Sean Cassidy (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,374.0,Jan-67,1967.0,Marvel,
97,Thomas Raymond (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,373.0,Sep-40,1940.0,Marvel,
98,Uatu (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,373.0,Apr-63,1963.0,Marvel,
99,Richard Rider (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,373.0,Sep-76,1976.0,Marvel,
100,Hogun (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,371.0,Aug-65,1965.0,Marvel,
101,Raven Darkholme (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,371.0,Apr-78,1978.0,Marvel,
102,Barbara Morse (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,368.0,Jun-71,1971.0,Marvel,
103,Blackagar Boltagon (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,366.0,Dec-65,1965.0,Marvel,
104,Brunnhilde (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,361.0,Dec-70,1970.0,Marvel,
105,Alison Blaire (Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,353.0,Feb-80,1980.0,Marvel,
106,Venom (Symbiote) (Earth-616),Known to Authorities Identity,Neutral Characters,Variable Eyes,No Hair,Agender Characters,,Living Characters,348.0,May-84,1984.0,Marvel,
107,John Walker (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,346.0,Nov-86,1986.0,Marvel,
108,Greer Grant (Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,342.0,Nov-72,1972.0,Marvel,
109,Karla Sofen (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,340.0,Dec-75,1975.0,Marvel,
110,William Baker (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,338.0,Sep-63,1963.0,Marvel,
111,Sharon Carter (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,332.0,Mar-66,1966.0,Marvel,
112,Felicia Hardy (Earth-616),Public Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,332.0,Jul-79,1979.0,Marvel,
113,Cain Marko (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,329.0,Jul-65,1965.0,Marvel,
114,Monica Rambeau (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,327.0,,,Marvel,
115,Maria Hill (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,325.0,Apr-05,2005.0,Marvel,
116,Ben Urich (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,324.0,Jul-78,1978.0,Marvel,
117,Heather Douglas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Female Characters,Bisexual Characters,Living Characters,323.0,Jan-73,1973.0,Marvel,
118,Millicent Collins (Earth-616),Public Identity,,Blue Eyes,Blond Hair,Female Characters,,Living Characters,321.0,Dec-45,1945.0,Marvel,
119,James Proudstar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,320.0,Jun-84,1984.0,Marvel,
120,Angelica Jones (Earth-616),Known to Authorities Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,319.0,May-85,1985.0,Marvel,
121,Edward Brock (Earth-616),Public Identity,Neutral Characters,Black Eyes,Blond Hair,Male Characters,,Living Characters,318.0,Sep-86,1986.0,Marvel,
122,MacDonald Gargan (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,,Living Characters,317.0,Dec-64,1964.0,Marvel,
123,Mephisto (Earth-616),No Dual Identity,Bad Characters,White Eyes,Black Hair,Male Characters,,Living Characters,316.0,Dec-68,1968.0,Marvel,
124,Tabitha Smith (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,316.0,Nov-85,1985.0,Marvel,
125,Jean-Paul Beaubier (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,313.0,Apr-79,1979.0,Marvel,
126,Daniel Ketch (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,,Living Characters,311.0,May-90,1990.0,Marvel,
127,Neena Thurman (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,310.0,Mar-92,1992.0,Marvel,
128,Wong (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,306.0,Jul-63,1963.0,Marvel,
129,Thanos (Earth-616),No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Living Characters,306.0,Feb-73,1973.0,Marvel,
130,Shang-Chi (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,296.0,Dec-73,1973.0,Marvel,
131,Alicia Masters (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,293.0,Nov-62,1962.0,Marvel,
132,Robert Baldwin (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,293.0,Sep-88,1988.0,Marvel,
133,Vance Astrovik (Earth-616),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,290.0,Jul-75,1975.0,Marvel,
134,Wendell Vaughn (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,290.0,Jan-78,1978.0,Marvel,
135,Chili Storm (Earth-616),Public Identity,,Green Eyes,Red Hair,Female Characters,Homosexual Characters,Living Characters,284.0,Oct-48,1948.0,Marvel,
136,Abner Jenkins (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,284.0,Aug-64,1964.0,Marvel,
137,Elektra Natchios (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,280.0,Jan-81,1981.0,Marvel,
138,Bullseye (Lester) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,277.0,Mar-76,1976.0,Marvel,
139,Forge (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,276.0,Aug-84,1984.0,Marvel,
140,Virginia Potts (Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,274.0,Sep-63,1963.0,Marvel,
141,Walter Langkowski (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,273.0,Apr-79,1979.0,Marvel,
142,Gorgon (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,272.0,Nov-65,1965.0,Marvel,
143,James Madrox (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,271.0,Feb-75,1975.0,Marvel,
144,Heimdall (Earth-616),Secret Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,,Living Characters,270.0,Oct-62,1962.0,Marvel,
145,Theresa Cassidy (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,267.0,Apr-81,1981.0,Marvel,
146,Laura Kinney (Earth-616),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,265.0,Feb-04,2004.0,Marvel,
147,Arthur Douglas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,264.0,Feb-73,1973.0,Marvel,
148,Peter Parker (Ben Reilly) (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,,Deceased Characters,263.0,Oct-75,1975.0,Marvel,
149,Warlock (Technarch) (Earth-616),Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,,Living Characters,261.0,Aug-84,1984.0,Marvel,
150,Kevin Plunder (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,260.0,Mar-65,1965.0,Marvel,
151,Leonard Samson (Earth-616),Public Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,,Deceased Characters,260.0,Jul-71,1971.0,Marvel,
152,Melissa Gold (Earth-616),Secret Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,260.0,Aug-79,1979.0,Marvel,
153,Lockheed (Earth-616),Secret Identity,Good Characters,,No Hair,Male Characters,,Living Characters,260.0,Feb-83,1983.0,Marvel,
154,Mercedes Knight (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,259.0,Mar-72,1972.0,Marvel,
155,Moira Kinross (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Deceased Characters,259.0,Dec-75,1975.0,Marvel,
156,Karnak (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,257.0,Dec-65,1965.0,Marvel,
157,Namorita Prentiss (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,257.0,Jun-72,1972.0,Marvel,
158,Lockjaw (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,255.0,Dec-65,1965.0,Marvel,
159,Adam Warlock (Earth-616),No Dual Identity,Good Characters,White Eyes,Gold Hair,Male Characters,,Living Characters,252.0,Sep-67,1967.0,Marvel,
160,Heather McNeil (Earth-616),Public Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,252.0,Nov-80,1980.0,Marvel,
161,Curtis Connors (Earth-616),Public Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,,Living Characters,250.0,Nov-63,1963.0,Marvel,
162,Theodore Sallis (Earth-616),Secret Identity,Good Characters,Red Eyes,No Hair,Male Characters,,Living Characters,249.0,May-71,1971.0,Marvel,
163,Adrian Toomes (Earth-616),Public Identity,Bad Characters,Hazel Eyes,Bald,Male Characters,,Living Characters,248.0,May-63,1963.0,Marvel,
164,Amora (Earth-616),Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,247.0,Apr-64,1964.0,Marvel,
165,Clea (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,247.0,Nov-64,1964.0,Marvel,
166,Mar-Vell (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,245.0,Dec-67,1967.0,Marvel,
167,Eugene Judd (Earth-616),Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,245.0,Aug-83,1983.0,Marvel,
168,Daimon Hellstrom (Earth-616),No Dual Identity,Neutral Characters,Red Eyes,Red Hair,Male Characters,,Living Characters,242.0,Sep-73,1973.0,Marvel,
169,John Jonah Jameson III (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,,Living Characters,240.0,Mar-63,1963.0,Marvel,
170,Triton (Earth-616),No Dual Identity,Good Characters,Green Eyes,No Hair,Male Characters,,Living Characters,240.0,Dec-65,1965.0,Marvel,
171,Meggan Puceanu (Earth-616),Secret Identity,Good Characters,,,Female Characters,,Living Characters,240.0,Dec-83,1983.0,Marvel,
172,Robert Reynolds (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,240.0,Sep-00,2000.0,Marvel,
173,Aleksei Sytsevich (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,239.0,Oct-66,1966.0,Marvel,
174,Santo Vaccarro (Earth-616),Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,,Living Characters,238.0,Sep-03,2003.0,Marvel,
175,Jonathan Clay (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Homosexual Characters,Living Characters,237.0,Aug-60,1960.0,Marvel,
176,Ares (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,236.0,Apr-49,1949.0,Marvel,
